shop_name,shop_category,shop_subject,shop_facility,shop_region,shop_mon,shop_tue,shop_wed,shop_thu,shop_fri,shop_sat,shop_sun,shop_note,shop_page1,shop_page2,shop_page3,shop_tel,shop_tag,shop_address,shop_lat,shop_lon,shop_img
공방 꽃피는삼월에,공방,#욕실 #공방 #수거 #리필,#주차 #포장 #방문접수/출장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,서울,휴무,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 17:00,,https://www.instagram.com/kkotsamwol_official/,https://blog.naver.com/kkotsamwol,,0507-1380-5365,#원데이수업 #제로웨이스트 #천연공방 #자원수거 #비누입욕제,서울 동대문구 답십리로30길 22-1 공방 꽃피는삼월에,37.5742159,127.0482981,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220916_134%2F1663338572969u0uCx_JPEG%2Fksw_%25B7%25CE%25B0%25ED.jpg
국제아로마디자인센터,공방,#욕실 #공방,#발렛파킹 #예약,서울,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,휴무,휴무,,http://icad.kr/,,,0507-1331-5790,#국제아로마디자인센터본원 #아로마테라피 #천연비누창업 #제로웨이스트 #서울강남조향스쿨,서울 강남구 언주로164길 32 BK빌딩 2층,37.5253761,127.03611,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220701_149%2F16566793240549Wz6e_PNG%2Ff.png
그런지공방,공방,#주방 #욕실 #공방,#무선인터넷 #주차,경기,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,휴무,,https://blog.naver.com/yozoh1201,,,0507-1427-2064,#비누공방 #아로마테라피 #원데이클래스 #자격증클래스 #제로웨이스트샵 #천연화장품 #취미반수업,경기 수원시 영통구 광교중앙로248번길 7-2 9층,37.2854331,127.0599193,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA2MDlfMjc4%2FMDAxNjU0NzMzNTc5NTEy.HqEyDO6gZDwvhMZvnINY8Rz9c9Vthz4B3Sb2zxMnBgsg.dJcI-AZNoPW0yto8Zq_EeXeJiPuHsObk8jO8aZTGCM8g.JPEG.souvenir1126%2FKakaoTalk_20220609_090633487_10.jpg%3Ftype%3Dw773
그로잉,카페,#카페,#단체석 #포장 #예약 #반려동물동반,대구,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,,http://instagram.com/growing_grg?igshid=7fhr40wfs09t,,,0507-1358-8396,,대구 남구 봉덕로9길 74 1층,35.8480811,128.5969184,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220906_235%2F1662441264636yfgdk_JPEG%2F2D08A6CF-A24F-4488-A492-1165DCEC2CBD.jpeg
그리니,종합생활용품,#주방 #욕실 #수거 #리필,#반려동물동반 #주차 #장애인편의시설,경기,13:30 ~ 20:00,13:30 ~ 20:00,13:30 ~ 20:00,13:30 ~ 20:00,13:30 ~ 20:00,11:00 ~ 17:00,휴무,,https://www.instagram.com/for._.greeny,blog.naver.com/for_greeny,,0507-1492-5535,#리필스테이션 #제로웨이스트 #제로웨이스트샵 #친환경 #수원페이 #제로페이 #경기지역화폐,경기 수원시 장안구 서부로2126번길 38-18 101호,37.2975576,126.9728063,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F38E95709B5A24500BEF27488A7374CA1
그리니지구,종합생활용품,#주방 #욕실,#포장,경남,휴무,휴무,12:00 ~ 16:00,휴무,12:00 ~ 14:30,휴무,휴무,"프리마켓, 외부출강시 휴무",https://www.instagram.com/greeny_earth_,,,0507-1422-0245,#진해비건 #창원제로웨이스트샵 #창원리필스테이션 #창원자원순환 #창원친환경,경남 창원시 진해구 동진로143번길 7-1 101호,35.1447178,128.7040678,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_93%2F1648572804151TNNHF_JPEG%2FBDD5623C-1D0C-427C-B71A-2430B46F73B5.jpeg
그린그루브 본점,카페,#주방 #식료품 #리필 #카페,#주차 #포장 #예약 #무선인터넷 #남/녀화장실구분,대구,08:00 ~ 19:00,08:00 ~ 19:00,08:00 ~ 19:00,08:00 ~ 19:00,08:00 ~ 19:00,11:00 ~ 19:00,휴무,18:30 라스트오더,,,,053-641-9990,,대구 달서구 화암로71길 9 LADI빌딩 1층,35.7980284,128.496292,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_298%2F16486073265002mLKf_JPEG%2FKakaoTalk_20220330_111735510_25.jpg
그린그리다,공방,#공방,#주차 #예약 #반려동물동반,경기,12:00 ~ 19:30,휴무,휴무,12:00 ~ 19:30,12:00 ~ 19:30,12:00 ~ 19:30,12:00 ~ 19:30,,https://www.instagram.com/greengrida,,,0507-1435-4506,#식물 #화분 #제로웨이스트 #꽃,경기 고양시 덕양구 중앙로557번길 18 바로주차프라자 1층,37.6229862,126.834286,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211220_107%2F1640003474308XWiLV_JPEG%2F5AAA3F79-93E7-4C95-AC3F-EFD20892BF8F.jpeg
그린인더숲,종합생활용품,#주방 #욕실 #식료품 #리필,#주차 #무선인터넷,경기,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,휴무,둘째 넷째 월요일 휴무,https://www.instagram.com/green_inthesoop,,,070-8672-0579,#제로웨이스트샵 #리필스테이션 #양말목공예 #용인제로웨이스트샵 #새활용공예,경기 용인시 기흥구 보정로 117 140호,37.3198072,127.114315,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211125_125%2F1637829415407ATH4J_JPEG%2F1.jpg
꽃따러가게,종합생활용품,#주방 #욕실,#주차 #포장 #무선인터넷 #반려동물동반 #남/녀화장실구분,경기,11:00 ~ 16:00,11:00 ~ 16:00,11:00 ~ 16:00,11:00 ~ 16:00,11:00 ~ 16:00,휴무,휴무,,https://www.instagram.com/ggotdda,,,0507-1470-6338,#제로웨이스트샵 #의정부제로웨이스트샵 #친환경생활용품 #친환경선물세트,경기 의정부시 오목로 196 애비뉴모나코 1층 65호,37.7364184,127.0910199,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220416_198%2F1650085903942vWaNO_JPEG%2F22-04-08-16-14-15-416_photo.jpg
꽃마리협동조합,종합생활용품,#욕실 #리필,#주차 #반려동물동반,제주,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:30 ~ 19:00,10:00 ~ 17:00,휴무,,http://www.flowermari.net/,http://www.facebook.com/flowermari01,http://www.instagram.com/flowermari.in,0507-1406-6883,#천연비누 #제주 #친환경세제 #체험 #제로웨이스트,제주 제주시 연신로 160,33.4899186,126.5526131,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210524_222%2F1621842672316MAcak_JPEG%2Fp1SYbJdEx7IEPcfDnbJR094n.JPG.jpg
꿈을짓는바느질공작소,공방,#공방,#주차 #예약 #무선인터넷,경기,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,휴무,,https://ggoomso.com/,https://blog.naver.com/joo0575,https://www.instagram.com/ggoomso/,0507-1424-4602,#하남공방 #미사공방 #하남원데이클래스 #자수공방 #제로웨이스트,경기 하남시 미사동로40번길 33-15 HAN RIVER 401호,37.5698659,127.2032176,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201023_7%2F1603427906035Wa4DJ_JPEG%2FrWY4WGEkuRE7gnr-3oWFx79f.jpg
나나랜드,공방,#욕실 #공방,#주차 #포장 #예약 #무선인터넷 #남/녀화장실구분,충북,휴무,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,휴무,영업시간 이후 예약은 별도 문의,http://instagram.com/itcc_nanaland,https://blog.naver.com/yulan0217,,010-3313-3474,#청주비누공방 #청주비누취미반 #청주비누자격증창업반 #청주제로웨이스트 #청주원데이클래스,충북 청주시 상당구 꽃산서로 24 1층 104호 나나랜드,36.6246904,127.5066013,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220406_176%2F1649252485446YEhmp_JPEG%2F22-04-05-21-21-01-667_deco.jpg
나무옆나무,공방,#의류 #공방,#예약,서울,휴무,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,,http://instagram.com/namu_na.mu,,,0507-1322-9378,#업사이클링공방 #재봉틀대여 #제로웨이스트 #새활용 #재봉틀공방,서울 강서구 방화대로21길 63 101호,37.5635128,126.8129751,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221105_78%2F1667624620610B1hsE_JPEG%2FKakaoTalk_20221105_122053935_01.jpg
나블,종합생활용품,#주방 #욕실 #리필 #공방,#반려동물동반,경기,휴무,12:30 ~ 18:30,12:30 ~ 18:30,12:30 ~ 18:30,12:30 ~ 18:30,12:30 ~ 18:30,휴무,,,,,0507-1495-2050,#세제소분 #제로웨이스트샵 #무포장가게 #제로웨이스트 #제로웨이스트샵나블,경기 고양시 덕양구 동송로 33 1차 상가 2층 82호,37.6372458,126.8322044,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220815_89%2F1660542132442RrpNa_JPEG%2F2022-03-20-15-46-57-353.jpg
난곡지구사랑점방,종합생활용품,#주방 #욕실 #리필,#무선인터넷,서울,11:00 ~ 18:00,11:00 ~ 18:00,11:00 ~ 18:00,11:00 ~ 18:00,13:00 ~ 18:00,휴무,휴무,,https://blog.naver.com/nlccoop,https://www.instagram.com/nlccoop,,,#공유공간 #제로웨이스트샵 #난곡동,서울 관악구 난곡로24길 33 103호,37.4689047,126.9213516,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220902_14%2F1662095565771P2TcC_JPEG%2FKakaoTalk_20220902_110939145.jpg
낯설여관 204호,서점,#주방 #욕실 #식료품 #위생 #도서 #수거 #리필,#무선인터넷,경기,휴무,휴무,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,,https://www.instagram.com/ridinn.book,https://pf.kakao.com/_CjpYK/chat,https://blog.naver.com/ridinn,0507-1392-0130,#제로웨이스트 #독립서점 #동네책방 #리필스테이션 #친환경소분샵,경기 수원시 장안구 영화로71번길 33 2층,37.2920685,127.0051119,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220722_104%2F1658465199481b7QFH_JPEG%2F204%25C8%25A3.jpg
내맘대로클래스,공방,#욕실 #화장품 #공방,#단체석 #주차 #방문접수/출장 #예약 #무선인터넷,울산,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 15:00,10:00 ~ 15:00,,https://blog.naver.com/pinsunni,https://mymomclass.modoo.at/,https://www.instagram.com/mymom_class,0507-1367-3808,#제로웨이스트 #아로마테라피 #컬러테라피 #향수 #원데이클래스,울산 중구 곽남길 102 2층,35.569603,129.3413127,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220328_251%2F1648422417336zVhAs_JPEG%2FIMG_20220325_035939_236.jpg
냉이,종합생활용품,#주방 #욕실 #리필 #악세사리,#주차 #반려동물동반,충남,휴무,13:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,휴무,,http://instagram.com/naengi.zero,,,0507-1396-1409,#플라스틱프리 #제로웨이스트 #리필스테이션 #소분샵 #논산,충남 논산시 계백로1062번길 7-2 냉이,36.2065077,127.0949226,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210518_61%2F1621328260104sQ7by_JPEG%2FEiT1F4WDPMDFGrEKE1vqC9sm.jpeg.jpg
널스밤,공방,#욕실 #화장품 #공방,#단체석 #주차 #포장 #방문접수/출장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,서울,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 18:00,휴무,,https://blog.naver.com/nursebalm,http://www.instagram.com/nursebalm,http://www.nursebalm.com/,0507-1322-9268,#답례품 #천연비누 #원데이클래스 #제로웨이스트 #키즈클래스,서울 마포구 마포대로 33 마포한화오벨리스크 지하상가 132호,37.5397604,126.9451405,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220207_182%2F1644200603313Vf9LE_JPEG%2FKakaoTalk_Photo_2022-01-27-16-36-12_001.jpeg
네모상점,종합생활용품,#주방 #욕실 #의류 #수거,#주차 #무선인터넷 #남/녀화장실구분,부산,휴무,12:00 ~ 18:00,12:00 ~ 20:00,12:00 ~ 18:00,12:00 ~ 18:00,12:00 ~ 18:00,14:00 ~ 18:00,,http://instagram.com/nemostore21,,,0507-1387-9640,#부산제로웨이스트샵 #리필스테이션 #무포장가게 #제로웨이스트샵 #친환경제품,부산 연제구 신금로 25 2층 227호,35.1914849,129.0943739,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220406_268%2F1649219624608Jdbds_JPEG%2F20220317_142719.jpg
네모지구,종합생활용품,	#주방 #욕실 #수거 #리필 #위생 #의류 #악세사리 #공방,#주차 #포장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분 #장애인편의시설,경기,12:00 ~ 18:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 18:00,휴무,,https://blog.naver.com/wlsdkspt1,https://www.instagram.com/square_earth_shop,-,010-6538-4415,#제로웨이스트 #제로웨이스트샵 #리필스테이션 #양말목공예 #시흥공방 #능곡동맛집 #무포장 #제로웨이스트 #제로웨이스트샵 #친환경 #세제리필샵,경기 시흥시 능곡번영길 30 센텀시티 5층 505호 네모지구,37.369869,126.8046609,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220902_299%2F1662124489589eggp3_JPEG%2F6B30C065-F2CD-4105-B17F-89B765C47936.jpeg
네이처백,종합생활용품,#주방 #욕실 #화장품 #악세사리 #수거 #위생,#반려동물동반,대전,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,휴무,휴무,,https://smartstore.naver.com/natureback_kr,https://www.instagram.com/natureback_kr/,,0507-1354-3312,#친환경 #제로웨이스트 #제로웨이스트샵 #대전제로웨이스트 #한남대제로웨이스트샵,대전 대덕구 오정동 210-10,36.352435,127.4266684,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220216_300%2F1644988857095OgPDm_JPEG%2FIMG_3249.jpeg.jpg
노플라스틱카페,카페,#주방 #욕실 #위생 #리필 #카페,#단체석 #포장 #무선인터넷 #남/녀화장실구분 #장애인편의시설,전남,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,휴무,휴무,,https://www.instagram.com/noplasticproject98.2,,,0507-1417-0621,,전남 순천시 중앙3길 3 1층(장천동),34.9500809,127.4854295,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_250%2F1657610976401sz07e_JPEG%2F%25C5%25D2%25BA%25ED%25B7%25AF.jpg
늘미곡,종합생활용품,#주방 #욕실 #리필 #수거 #식료품,#주차 #반려동물동반,전북,휴무,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,휴무,,https://blog.naver.com/neulmigok,http://instagram.com/neulmigok,,070-4240-0225,#제로웨이스트 #잡곡소분샵 #늘미곡 #전주제로웨이스트샵 #전주늘미곡,"전북 전주시 완산구 선너머로 16 , 상가2동 1층 1호",35.8157844,127.126403,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201222_35%2F16086195235817k0EC_JPEG%2FPFW5u6TkP5ntuQ_o5hENk187.jpg
늘미곡,종합생활용품,#주방 #욕실 #식료품 #수거 #리필 #악세사리,#무선인터넷 #반려동물동반 #주차 #장애인편의시설 #유아시설(놀이방),전북,휴무,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,휴무,,http://www.instagram.com/neulmigok,,,070-4240-0225,#세제리필샵 #제로웨이스트샵,전북 전주시 완산구 선너머로 16,35.8157844,127.126403,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201222_35%2F16086195235817k0EC_JPEG%2FPFW5u6TkP5ntuQ_o5hENk187.jpg
다시 채우는 가게,종합생활용품,#욕실 #리필,#무선인터넷 #유아시설(놀이방),부산,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 14:00,휴무,,,,,,#제로웨이스트 #리필스테이션 #원데이클래스 #부산여행 #친환경,부산 영도구 남항새싹길 244 1층(영선동4가) 다시 채우는 가게,35.0810502,129.042661,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221107_248%2F1667798433856swT3a_JPEG%2FKakaoTalk_Photo_2022-11-07-14-15-15_001.jpeg
다시채움,종합생활용품,#리필,#방문접수/출장 #예약,경기,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,휴무,휴무,,http://refillforearth.com/,http://instagram.com/refill_for_earth,,010-7252-0786,#세제리필 #제로웨이스트 #리필스테이션 #제로웨이스트매장,경기 용인시 수지구 대지로 43 606호,37.3286175,127.1142499,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210318_91%2F16160492229868kCdu_JPEG%2FnNk3jPH47vFOWrXnHUwqoBj-.jpg
다운생활,종합생활용품,#주방 #욕실 #리필,#주차,경기,휴무,휴무,18:50 ~ 20:30,18:50 ~ 20:30,18:50 ~ 20:30,14:00 ~ 20:30,휴무,공휴일 휴무,https://www.instagram.com/downlifetoday,,,0507-1360-0346,#부천제로웨이스트샵 #신중동역제로웨이스트샵 #부천세제소분샵 #신중동역세제소분샵 #부천플라스틱프리,경기 부천시 옥산로 81 꿈마을 삼환한진아파트 상가 114호,37.5014424,126.7793458,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211118_107%2F1637246630004IKnjG_JPEG%2FD4338AF4-0B08-4333-BA2E-FEBCA0E8EF0F.jpeg
달팡이상점,카페,#주방 #욕실 #카페,#단체석 #주차 #무선인터넷 #반려동물동반 #남/녀화장실구분,경남,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,휴무,,https://www.instagram.com/dalpange_iia,,,0507-1351-4818,,경남 통영시 광도면 죽림5로 55-40 101호 달팡이상점,34.8829951,128.4223612,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221020_92%2F1666259122306fHY0b_PNG%2F20221020_184139.png
